2026-05-26T17:08:55+12:00 run start {'title': 'Inhomogeneous rmhd simulation test', 'input_file': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\testing_folder\\nokia_inhomo_linear2.input', 'output_dir': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\testing_folder\\kz_scan\\runs\\kz_04', 'backend': 'numpy', 'equation_set': 'inhomogeneous_rmhd', 'equation_mode': 'linear', 'grid': [16, 16, 16], 'output_cadences': {'scalar': 0.3141592653589793, 'spectra': 0.0, 'full_field': 0.0}, 'hostname': 'Naoki', 'python_executable': 'C:\\Users\\naoki\\AppData\\Local\\Programs\\Python\\Python313\\python.exe', 'git_commit': 'bae2e3dc28d11833148393904c049d5ad2ad4cea', 'command': "'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\rmhdgpu\\run.py' 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\testing_folder\\nokia_inhomo_linear2.input' --output-dir 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\testing_folder\\kz_scan\\runs\\kz_04' --mode-kx 3 --mode-ky 2 --mode-kz 4"}
2026-05-26T17:08:55+12:00 run setup {'resolved_output_dir': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\testing_folder\\kz_scan\\runs\\kz_04', 'input_file': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\testing_folder\\nokia_inhomo_linear2.input', 'backend': 'numpy', 'equation_set': 'inhomogeneous_rmhd', 'equation_mode': 'linear', 'grid': [16, 16, 16], 'output_cadences': {'scalar': 0.3141592653589793, 'spectra': 0.0, 'full_field': 0.0}, 'dissipation_mode': 'manual', 'initial_condition': {'type': 'single_fourier_mode', 'parameters': {'k_indices': [3, 2, 4], 'amplitude': 1e-12, 'seed': 0}}}
2026-05-26T17:08:55+12:00 scalar diagnostics {'step': 0, 'time': 0.0, 'dt': 0.0, 'total_energy': 1.7675068157687915e-16}
2026-05-26T17:08:55+12:00 scalar diagnostics {'step': 4, 'time': 0.4, 'dt': 0.1, 'total_energy': 1.2448459388735433e-16}
2026-05-26T17:08:55+12:00 scalar diagnostics {'step': 7, 'time': 0.7, 'dt': 0.1, 'total_energy': 3.766440195124051e-16}
2026-05-26T17:08:55+12:00 scalar diagnostics {'step': 10, 'time': 0.9999999999999999, 'dt': 0.1, 'total_energy': 7.889254970377385e-16}
2026-05-26T17:08:55+12:00 scalar diagnostics {'step': 13, 'time': 1.3, 'dt': 0.1, 'total_energy': 1.2842682302805682e-15}
2026-05-26T17:08:55+12:00 scalar diagnostics {'step': 16, 'time': 1.6000000000000003, 'dt': 0.1, 'total_energy': 1.6812687009783505e-15}
2026-05-26T17:08:55+12:00 scalar diagnostics {'step': 19, 'time': 1.9000000000000006, 'dt': 0.1, 'total_energy': 1.748042906059441e-15}
2026-05-26T17:08:55+12:00 scalar diagnostics {'step': 22, 'time': 2.2000000000000006, 'dt': 0.1, 'total_energy': 1.3894901407865511e-15}
2026-05-26T17:08:55+12:00 scalar diagnostics {'step': 26, 'time': 2.600000000000001, 'dt': 0.1, 'total_energy': 6.185646910372369e-16}
2026-05-26T17:08:55+12:00 scalar diagnostics {'step': 29, 'time': 2.9000000000000012, 'dt': 0.1, 'total_energy': 5.434671522873293e-16}
2026-05-26T17:08:55+12:00 scalar diagnostics {'step': 32, 'time': 3.2000000000000015, 'dt': 0.1, 'total_energy': 6.542533139530996e-16}
2026-05-26T17:08:55+12:00 scalar diagnostics {'step': 35, 'time': 3.5000000000000018, 'dt': 0.1, 'total_energy': 4.846835258537506e-16}
2026-05-26T17:08:55+12:00 scalar diagnostics {'step': 38, 'time': 3.800000000000002, 'dt': 0.1, 'total_energy': 1.3582311258323029e-16}
2026-05-26T17:08:55+12:00 scalar diagnostics {'step': 41, 'time': 4.100000000000001, 'dt': 0.1, 'total_energy': 2.2866098933000473e-16}
