step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_stratification,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,1.2895693738881813e-13,1.8231693659622372e-13,0.0,4.5888190516707e-13,6.404226504432821e-13,0.0,4.569970793548962e-13,6.344617616061874e-13,0.0,1.1396004713102775e-12,1.591754645940458e-12,0.0,1.0238493008008257e-12,1.4384048126146479e-12,6.927304242314349e-26,1.0442316526945268e-25,6.493446171053029e-25,8.23040824797899e-25,1.7554176374057935e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.3200000000000001,0.01,0.0,2.5252685594204525e-13,3.5638153133992547e-13,0.0,1.4836549284038706e-13,2.0979040617492224e-13,0.0,2.289617465878361e-10,3.2364905571010337e-10,0.0,3.332902875918014e-10,4.700206705766959e-10,0.0,4.8529636438186e-10,6.854289108419041e-10,6.92728928384172e-26,2.621174070027623e-20,5.554120790151283e-20,8.17530178746819e-20,2.008826173224025e-19,0.0,0.0,6.274810804669957e-19,6.274810804669957e-19,0.0,0.0,0.0,0.0,0.0,0.0
63,0.6300000000000003,0.01,0.0,1.8581584228974504e-13,2.6257957630094395e-13,0.0,3.72801398509578e-13,5.214059957064555e-13,0.0,3.545932626536544e-10,5.012539939785472e-10,0.0,3.291418247083674e-10,4.6395159069569336e-10,0.0,4.096060173699546e-10,5.782014213267854e-10,6.927274792852168e-26,6.286819095968175e-20,5.416717038617685e-20,1.1703543061860654e-19,2.1650241516051573e-19,0.0,0.0,5.045148339883576e-20,5.045148339883576e-20,0.0,0.0,0.0,0.0,0.0,0.0
95,0.9500000000000006,0.01,0.0,7.83769797475396e-14,1.1051821957856233e-13,0.0,5.025122780194932e-13,7.029806458821816e-13,0.0,3.2907570724890164e-10,4.651940934432864e-10,0.0,7.982673562411132e-11,1.128667139373133e-10,0.0,6.716491109290003e-10,9.378325424533598e-10,6.927259834443134e-26,5.41454105506824e-20,3.1861538602008806e-21,5.733163368348163e-20,1.8231817016084594e-19,0.0,0.0,-1.0668479655670016e-19,-1.0668479655670016e-19,0.0,0.0,0.0,0.0,0.0,0.0
126,1.260000000000001,0.01,0.0,2.298206261123016e-13,3.249033032614153e-13,0.0,2.5655356749420967e-13,3.5684005734332926e-13,0.0,1.6459110706314e-10,2.32684111504504e-10,0.0,2.5418402080767266e-10,3.570802284491638e-10,0.0,1.1806052109100007e-09,1.6513986770283144e-09,6.927245343515178e-26,1.3545116262135008e-20,3.230475821697768e-20,4.5849943751566126e-20,4.544884412560623e-19,0.0,0.0,8.777450598119879e-19,8.777450598119879e-19,0.0,0.0,0.0,0.0,0.0,0.0
158,1.5800000000000012,0.01,0.0,2.2641944712038786e-13,3.1644048200401086e-13,0.0,2.6837688288968057e-13,3.7904272235554e-13,0.0,7.612344555795916e-11,1.0758951637080531e-10,0.0,2.8385739504298177e-10,4.0136739447124874e-10,0.0,1.1354231155608091e-09,1.6053418728722933e-09,6.927230385169743e-26,2.8973894818077846e-21,4.02875103602937e-20,4.318496911440534e-20,4.3155260533914873e-19,0.0,0.0,-7.16581144639489e-20,-7.16581144639489e-20,0.0,0.0,0.0,0.0,0.0,0.0
189,1.8900000000000015,0.01,0.0,7.445956291190349e-14,1.0527103760987639e-13,0.0,5.048878387681853e-13,7.125576278419164e-13,0.0,2.7814897490677835e-10,3.931834263065559e-10,0.0,2.176401386307058e-10,3.072219318309767e-10,0.0,5.075843909234363e-10,7.103440652569139e-10,6.927215894303397e-26,3.8683426120845796e-20,2.3683614971596426e-20,6.236711036460116e-20,1.5561404209165884e-19,0.0,0.0,-8.898984922446138e-19,-8.898984922446138e-19,0.0,0.0,0.0,0.0,0.0,0.0
220,2.199999999999997,0.01,0.0,1.860101796357261e-13,2.6011190304936056e-13,0.0,3.7240959765590635e-13,5.262342301904698e-13,0.0,3.6416270027578206e-10,5.14784939760285e-10,0.0,3.83347913809724e-10,5.354632315081437e-10,0.0,2.2011765638805806e-10,3.093961163331701e-10,6.92720140346736e-26,6.630723613607454e-20,7.347781151113379e-20,1.3978511691922237e-19,2.263449097468744e-19,0.0,0.0,2.280109411648701e-19,2.280109411648701e-19,0.0,0.0,0.0,0.0,0.0,0.0
252,2.5199999999999902,0.01,0.0,2.5135388531190453e-13,3.516598458514864e-13,0.0,1.5611647947321678e-13,2.200231808111974e-13,0.0,2.937766714675512e-10,4.15297736303749e-10,0.0,3.7679698682493015e-10,5.32264903100091e-10,0.0,5.087264050773666e-10,7.076698425154417e-10,6.92718644521679e-26,4.315236634927675e-20,7.09879846401733e-20,1.141404202613145e-19,2.5500509481168184e-19,0.0,0.0,8.950105732984325e-20,8.950105732984325e-20,0.0,0.0,0.0,0.0,0.0,0.0
283,2.8299999999999836,0.01,0.0,1.2872897655226014e-13,1.7912783122624044e-13,0.0,4.591320948930986e-13,6.490737431201043e-13,0.0,1.0059303988711956e-10,1.422161522533825e-10,0.0,2.2792541874999224e-10,3.216241253459723e-10,0.0,3.883808792803625e-10,5.461907165370168e-10,6.927171954442362e-26,5.059479836865813e-21,2.5974998256179643e-20,3.1034547364765e-20,9.773626661640325e-20,0.0,0.0,-5.070481714218304e-19,-5.070481714218304e-19,0.0,0.0,0.0,0.0,0.0,0.0
